barcode,sku,titel,optie,woorden,afbeeldingen,adviesprijs,actieprijs,op_voorraad,bron_url
8717677967995,MT1101,Dennenpollen Tinctuur - Pine Pollen - 10 ml,,223,1,29.95,22.46,nee,https://www.mattisson.nl/dennenpollen-tinctuur-pine-pollen-10-ml
8717677960675,MT1420,AlkaBalans Zuur Base Kruidenthee - Losse thee,,745,1,12.95,12.95,ja,https://www.mattisson.nl/alkabalans-zuur-base-kruidenthee-losse-thee
8717677968237,MT2031,Cranberry D-Mannose poeder - 100 g,,627,1,26.95,20.21,ja,https://www.mattisson.nl/cranberry-d-mannose-poeder
8717677963287,MT2052,Biologisch Cordyceps poeder - 100 g,,683,1,29.95,22.46,ja,https://www.mattisson.nl/biologische-cordyceps-poeder
8717677967803,MT2056,Biologische Lion's Mane poeder - 100 g,,847,1,21.95,16.46,ja,https://www.mattisson.nl/biologische-lion-s-mane-poeder
8717677966134,MT2222,Bitterzout - Epsom zout - 1 kg,,734,1,6.95,6.95,ja,https://www.mattisson.nl/bitterzout-epsom-zout-1-kg
8717677966141,MT2224,Baking Soda - Zuiveringszout - 1 kg,,884,1,6.95,6.95,ja,https://www.mattisson.nl/baking-soda-zuiveringszout-1-kg
8717677963409,MT2225,Himalaya Zout grof - Navulzak 1 kg,,922,1,6.45,6.45,ja,https://www.mattisson.nl/himalaya-zout-grof-navulzak-1-kg
8717677960613,MT1310,Biologisch Noni sap - Puur - 1 L,,577,1,24.95,24.95,nee,https://www.mattisson.nl/biologische-noni-sap-puur
8717677962228,MT1551,Kokosnoot olie 1000mg - 120 capsules,,372,1,18.95,14.21,ja,https://www.mattisson.nl/kokosnoot-olie-1000mg-capsules
8717677965878,MT2001,Biologische Kurkuma 325mg - Geelwortel - 120 capsules,,752,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-kurkuma-325mg-capsules
8717677965885,MT2002,Biologische Brandnetelwortel 210mg - 120 capsules,,724,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-brandnetelwortel-210mg-capsules
8717677965892,MT2003,Biologische Zwarte Bes 300mg - 120 capsules,,591,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-zwarte-bes-300mg-capsules
8717677965939,MT2008,Biologische Heermoes 250 mg - 120 capsules,,564,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-heermoes-250mg-capsules
8717677965953,MT2011,Biologische Gember 270mg - 120 capsules,,702,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-gember-270mg-capsules
8717677965960,MT2012,Biologische Fenegriek 330mg - 120 capsules,,611,1,17.95,13.46,ja,https://www.mattisson.nl/biologische-fenegriek-330mg-capsules
8717677966219,MT2022,Natriumbicarbonaat 800mg - 120 capsules,,631,1,19.95,14.96,ja,https://www.mattisson.nl/natriumbicarbonaat-800mg-capsules
8720289190163,MT2212,Vegan Vitamine D3 25mcg - 120 capsules,,580,1,17.95,13.46,ja,https://www.mattisson.nl/vegan-vitamine-d3-25mcg-capsules
8717677965700,MT2345,Levertraan Olie 1000mg - 120 capsules,,616,1,19.95,14.96,ja,https://www.mattisson.nl/levertraan-olie-1000mg-capsules
8717677961672,MT2154,Biologische Camu Camu poeder - 120 g,,703,1,19.95,14.96,ja,https://www.mattisson.nl/biologische-camu-camu-poeder
8717677963690,MT1486,Europees Chlorella poeder - 125 g,,794,1,18.95,14.21,ja,https://www.mattisson.nl/europese-chlorella-poeder
8717677965144,MT1845,Probisson® - 8 miljard CFU - 125 g,,673,1,22.95,17.21,ja,https://www.mattisson.nl/probiotica-poeder-8-miljard-cfu
8717677962969,MT2043,Biologisch Cranberry poeder - 125 g,,732,1,19.95,19.95,nee,https://www.mattisson.nl/biologische-cranberry-poeder
8717677963249,MT2046,Keltisch Zeezout fijn - Celtic Seasalt - Strooibus 125 g,,1140,1,7.95,7.95,ja,https://www.mattisson.nl/keltisch-zeezout-fijn-strooibus
8717677963355,MT2060,Biologische Geelwortel (Curcuma Longa) poeder - Kurkuma - 125 g,,774,1,6.95,5.21,ja,https://www.mattisson.nl/biologische-geelwortel-curcuma-longa-poeder
8717677962617,MT2148,Biologische Rode Bieten poeder - 125 g,,685,1,8.95,8.95,ja,https://www.mattisson.nl/biologische-rode-bieten-poeder
8717677962624,MT2158,Biologisch Moringa Blad poeder - 125 g,,769,1,9.95,7.46,ja,https://www.mattisson.nl/biologisch-moringa-blad-poeder
8717677962068,MT2164,Biologische Acai poeder - 125 g,,563,1,19.95,14.96,ja,https://www.mattisson.nl/biologische-acai-poeder
8717677962051,MT2196,Biologische Gerstegras poeder - 125 g,,816,1,9.95,7.46,ja,https://www.mattisson.nl/biologische-gerstegras-poeder
8717677962150,MT2197,Biologisch Chlorella poeder - 125 g,,651,1,12.95,9.71,ja,https://www.mattisson.nl/biologische-chlorella-poeder
8717677962082,MT2198,Biologische Spirulina poeder - 125 g,,787,1,8.95,6.71,ja,https://www.mattisson.nl/biologische-spirulina-poeder
8717677968824,MT2328,Calcium Citraat poeder - 125 g,,531,1,19.95,14.96,ja,https://www.mattisson.nl/calcium-citraat-poeder
8717677963713,MT4103,Biologisch Tarwegras poeder - 125 g,,1052,1,8.95,6.71,ja,https://www.mattisson.nl/biologisch-tarwegras-poeder
8717677967186,MT2092,Biologische Matcha Latte - Gember Ceylon Kaneel - 140 g,,745,1,9.95,9.95,ja,https://www.mattisson.nl/biologische-matcha-latte-gember-ceylon-kaneel
8717677967162,MT2090,Biologische Kurkuma Latte - Ongezoet - 160 g,,829,1,9.95,9.95,ja,https://www.mattisson.nl/biologische-kurkuma-latte-ongezoet
8717677967193,MT2093,Biologische Beetroot Latte - Gember Cacao,,891,1,9.95,9.95,ja,https://www.mattisson.nl/biologische-beetroot-latte-gember-cacao
8717677967209,MT2094,Biologische Maca Latte - Cacao & Ceylon kaneel - 160 g,,787,1,9.95,9.95,ja,https://www.mattisson.nl/biologische-maca-latte-cacao-ceylon-kaneel
8717677963744,MT1554,Biologisch Kokosmeel - 500 g,,655,1,5.45,5.45,ja,https://www.mattisson.nl/biologisch-kokosmeel
8717677967216,MT2095,Biologische Mushroom Latte - 160 g,,781,1,13.95,13.95,ja,https://www.mattisson.nl/biologische-mushroom-latte
